Country,Refugees
Albania,2542
Armenia,511
Austria,93171
Azerbaijan,4928
Belarus,20235
Belgium,67761
Bosnia and Herzegovina,152
Bulgaria,50373
Croatia,20796
Cyprus,15750
Czechia,489865
Denmark,39756
Estonia,67243
Finland,47067
France,118994
Georgia,25101
Germany,1055323
Greece,20955
Hungary,34248
Iceland,2239
Ireland,75260
Italy,169837
Latvia,35322
Lithuania,74611
Luxembourg,6756
Malta,1603
Moldova,109410
Montenegro,33739
Netherlands,85210
North Macedonia,6410
Norway,39931
Poland,1563386
Portugal,57859
Romania,109871
Russia,2852395
Serbia and Kosovo,2989
Slovakia,109185
Slovenia,9076
Spain,166832
Sweden,50740
Switzerland,80324
Turkey,95874
United Kingdom,161400
